src_url,src_status_code,n_sub_req,final_url,final_status_code,resp_content_len
https://dergipark.org.tr/en/pub/igusbd,200,0,https://dergipark.org.tr/en/pub/igusbd,200,
http://northclinist.com/default.aspx,301,1,https://northclinist.com/default.aspx,200,
https://www.turkjgastroenterol.org/,200,0,https://www.turkjgastroenterol.org/,200,
http://mutefekkir.aksaray.edu.tr/,302,2,https://mutefekkir.aksaray.edu.tr/mutefekkir,200,
http://www.osmanlimirasi.net/eng,200,0,http://www.osmanlimirasi.net/eng,200,
http://www.turkishbioethics.org/jvi.aspx,301,1,https://www.turkishbioethics.org/jvi.aspx,200,
https://iupress.istanbul.edu.tr/en/journal/jplc/home,,,,,
https://dergipark.org.tr/en/pub/ijsm,200,0,https://dergipark.org.tr/en/pub/ijsm,200,
http://insanveinsan.org/,301,2,https://www.insanveinsan.org/,200,
https://dergipark.org.tr/en/pub/erziefd,200,0,https://dergipark.org.tr/en/pub/erziefd,200,
http://eds.yildiz.edu.tr/journal-of-thermal-engineering,,,,,
http://jacodesmath.com/index.php/jacodesmath,301,1,https://jacodesmath.com/index.php/jacodesmath,200,
https://dergipark.org.tr/en/pub/kafkasegt,200,0,https://dergipark.org.tr/en/pub/kafkasegt,200,
http://sportifbakis.com/SonSayi.Aspx,200,0,http://sportifbakis.com/SonSayi.Aspx,200,
http://dergipark.gov.tr/sduijes,301,1,http://dergipark.gov.tr/tr/pub/sduijes,404,594
http://dergipark.gov.tr/ijegeo,301,1,http://dergipark.gov.tr/tr/pub/ijegeo,404,594
http://www.limnofish.org/,301,1,http://www.limnofish.org/tr/,200,
http://jurolsurgery.org/home/,301,1,https://jurolsurgery.org/home/,200,
https://dergipark.org.tr/en/pub/iid,200,0,https://dergipark.org.tr/en/pub/iid,200,
http://www.cjmb.org/,200,0,http://www.cjmb.org/,200,
https://dergipark.org.tr/tr/pub/moment,200,0,https://dergipark.org.tr/tr/pub/moment,200,
https://dergipark.org.tr/jotcsa,301,1,https://dergipark.org.tr/tr/pub/jotcsa,200,
http://www.bosphorusmedj.com/,301,1,https://www.bosphorusmedj.com/,200,
https://dergipark.org.tr/en/pub/deuhfed,200,0,https://dergipark.org.tr/en/pub/deuhfed,200,
https://dergipark.org.tr/en/pub/cihannuma,200,0,https://dergipark.org.tr/en/pub/cihannuma,200,
http://jafas.org/,301,1,https://jafas.org/,200,0
http://ejal.eu/index.php/ejal/index,404,0,http://ejal.eu/index.php/ejal/index,404,
https://dergipark.org.tr/tr/pub/jgedc,200,0,https://dergipark.org.tr/tr/pub/jgedc,200,
https://dergipark.org.tr/tr/pub/makuiibf,200,0,https://dergipark.org.tr/tr/pub/makuiibf,200,
http://www.jeseh.org/,301,1,https://dergipark.org.tr/tr/pub/jeseh,200,
http://www.erciyesmedj.com/,301,1,https://jcpres.com/,200,
http://www.anatoljcardiol.com/,301,3,https://anatoljcardiol.com/,200,
http://www.journals.istanbul.edu.tr/iudis/index,,,,,
https://turkthoracj.org/EN,200,0,https://turkthoracj.org/EN,200,
http://betadergi.com/yoad/index.php,301,1,https://betadergi.com/yoad/index.php,200,
https://www.turkishjournalofurology.com/,200,0,https://www.turkishjournalofurology.com/,200,
http://jegys.org/,200,0,http://jegys.org/,200,120
https://dergipark.org.tr/en/pub/tjf,200,0,https://dergipark.org.tr/en/pub/tjf,200,
https://khd.tkd.org.tr/EN,200,0,https://khd.tkd.org.tr/EN,200,
http://eajem.com/,301,1,https://eajem.com/,200,
http://entupdatesjournal.org/index.html,404,0,http://entupdatesjournal.org/index.html,404,679
http://journal.phaselis.org/,200,0,http://journal.phaselis.org/,200,15650
http://dergipark.gov.tr/useeabd,301,1,http://dergipark.gov.tr/tr/pub/useeabd,404,594
https://dergipark.org.tr/tr/pub/vakanuvis,200,0,https://dergipark.org.tr/tr/pub/vakanuvis,200,
http://dergipark.gov.tr/spmj,301,1,http://dergipark.gov.tr/tr/pub/spmj,404,594
http://ijcf.ticaret.edu.tr/index.php/ijcf,200,0,http://ijcf.ticaret.edu.tr/index.php/ijcf,200,
http://dergipark.gov.tr/tjas,301,1,http://dergipark.gov.tr/tr/pub/tjas,404,594
http://jital.org/index.php/jital,200,0,http://jital.org/index.php/jital,200,7861
http://www.tudear.com/,,,,,
https://www.tandfonline.com/journals/tmyc,403,0,https://www.tandfonline.com/journals/tmyc,403,
http://journals.sagepub.com/home/jpc,301,1,https://journals.sagepub.com/home/jpc,403,
https://jefc.scholasticahq.com/,200,0,https://jefc.scholasticahq.com/,200,
http://cpcc.edu/taltp,301,2,https://www.cpcc.edu/teaching-american-literature-journal-theory-and-practice,200,34393
https://www.hhrjournal.org/,200,0,https://www.hhrjournal.org/,200,47409
https://jocpc.org/,200,0,https://jocpc.org/,200,
https://www.tandfonline.com/journals/kvir,403,0,https://www.tandfonline.com/journals/kvir,403,
https://nonpartisaneducation.org/,200,0,https://nonpartisaneducation.org/,200,22892
https://crl.acrl.org/,302,1,https://crl.acrl.org/index.php/crl,200,6769
https://www.berghahnjournals.com/view/journals/environment-and-society/environment-and-society-overview.xml,301,1,https://www.berghahnjournals.com/abstract/journals/environment-and-society/environment-and-society-overview.xml,200,
http://esajournals.onlinelibrary.wiley.com/hub/journal/10.1002/(ISSN)2150-8925/,301,1,https://esajournals.onlinelibrary.wiley.com/hub/journal/10.1002/(ISSN)2150-8925/,403,
https://www.berghahnjournals.com/view/journals/religion-and-society/religion-and-society-overview.xml,301,1,https://www.berghahnjournals.com/abstract/journals/religion-and-society/religion-and-society-overview.xml,200,
http://www.urbanauapp.org/,301,1,https://urbanauapp.org/,200,
https://jume-ojs-tamu.tdl.org/jume/index.php/JUME/index,200,0,https://jume-ojs-tamu.tdl.org/jume/index.php/JUME/index,200,
https://www.tandfonline.com/journals/tbsm,403,0,https://www.tandfonline.com/journals/tbsm,403,
https://journals.sagepub.com/home/gos,403,0,https://journals.sagepub.com/home/gos,403,
http://www.comparativephilosophy.org/,301,2,https://scholarworks.sjsu.edu/comparativephilosophy/,200,
http://thermalfluidscentral.org/journals/index.php/Heat_Mass_Transfer,200,0,http://thermalfluidscentral.org/journals/index.php/Heat_Mass_Transfer,200,
https://www.foodsystemsjournal.org/,302,1,https://www.foodsystemsjournal.org/index.php/fsj,200,
http://publications-sfds.fr/index.php/csbigs,200,0,http://publications-sfds.fr/index.php/csbigs,200,3426
http://www.aginganddisease.org/,200,0,http://www.aginganddisease.org/,200,396
http://journals.sagepub.com/home/aar,301,1,https://journals.sagepub.com/home/aar,403,
https://jopm.jmir.org/,200,0,https://jopm.jmir.org/,200,
https://docs.lib.purdue.edu/fosr/,200,0,https://docs.lib.purdue.edu/fosr/,200,
https://www.berghahnjournals.com/view/journals/regions-and-cohesion/regions-and-cohesion-overview.xml,301,1,https://www.berghahnjournals.com/abstract/journals/regions-and-cohesion/regions-and-cohesion-overview.xml,200,
http://dialogue-and-discourse.org/,200,0,http://dialogue-and-discourse.org/,200,
http://www.ijphm.org/,301,5,https://phmsociety.org/international-journal-of-prognostics-and-health-management-issn-2153-2648/,200,
https://contemporaneity.pitt.edu/,200,0,https://contemporaneity.pitt.edu/,200,103
http://docs.lib.purdue.edu/jsaaea/,301,1,https://docs.lib.purdue.edu/jsaaea/,200,
https://jaamejournal.scholasticahq.com/,200,0,https://jaamejournal.scholasticahq.com/,200,
http://escholarship.org/uc/ssha_transmodernity,301,1,https://escholarship.org/uc/ssha_transmodernity,200,
https://www.degruyter.com/view/j/npf,301,1,https://www.degruyter.com/journal/key/npf/html,200,250492
http://screendancejournal.org/,301,1,https://screendancejournal.org/,200,
http://digitalcommons.usu.edu/westernarchives/,301,1,https://digitalcommons.usu.edu/westernarchives/,200,
https://digitalcommons.kennesaw.edu/jpps/,200,0,https://digitalcommons.kennesaw.edu/jpps/,200,
